作品编号,专家1,专家2,专家3,专家4,专家5
1150,40,58,87,73,79
1151,118,18,35,60,93
1152,68,83,45,110,5
1153,103,102,88,66,58
1154,14,99,29,86,90
1155,74,34,36,43,23
1156,94,9,61,81,63
1157,125,41,6,92,109
1158,78,104,65,116,42
1159,64,30,95,47,124
1160,103,111,120,12,1
1161,117,44,2,40,107
1162,38,16,89,28,46
1163,3,70,52,118,48
1164,22,27,37,68,4
1165,54,113,98,96,72
1166,100,85,112,10,13
1167,101,31,91,122,57
1168,15,39,33,83,7
1169,119,56,121,19,16
1170,97,76,35,32,20
1171,80,77,50,17,18
1172,24,59,55,53,11
1173,106,87,21,115,123
1174,51,105,71,8,112
1175,67,62,25,75,95
1176,49,31,7,79,62
1177,82,44,115,56,120
1178,108,114,117,72,125
1179,110,111,33,35,75
1180,113,108,50,15,22
1181,86,78,63,85,91
1182,34,70,14,116,20
1183,68,66,93,101,47
1184,74,96,64,18,49
1185,27,53,71,12,5
1186,100,48,36,81,102
1187,99,88,121,60,2
1188,105,26,6,76,120
1189,39,89,94,73,13
1190,80,23,106,25,109
1191,21,52,41,83,30
1192,90,19,57,87,110
1193,119,24,42,61,98
1194,55,9,65,10,62
1195,104,54,43,92,58
1196,59,17,4,3,75
1197,107,51,123,67,38
1198,97,84,46,124,48
1199,29,82,37,28,103
1200,11,32,69,68,43
1201,40,118,45,51,85
1202,1,8,67,83,63
1203,122,93,10,46,88
1204,77,107,70,103,13
1205,19,8,74,114,66
1206,99,94,33,27,101
1207,82,16,24,40,36
1208,20,124,52,53,123
1209,6,106,31,111,60
1210,109,18,15,86,98
1211,65,3,113,56,80
1212,108,100,78,61,26
1213,2,38,71,118,90
1214,64,102,41,89,120
1215,115,29,7,4,19
1216,22,55,49,76,12
1217,11,30,44,9,119
1218,23,14,97,79,50
1219,45,72,87,122,92
1220,47,1,57,73,59
1221,69,81,125,91,89
1222,32,28,96,116,30
1223,42,39,58,84,77
1224,112,95,21,40,53
1225,35,105,37,95,86
1226,5,104,121,61,77
1227,34,25,27,51,6
1228,54,117,59,99,52
1229,17,28,5,79,33
1230,92,8,75,118,44
1231,39,113,48,14,43
1232,100,103,38,55,110
1233,21,26,90,18,117
1234,67,122,7,111,50
1235,3,93,71,107,25
1236,12,78,125,31,66
1237,101,115,102,46,63
1238,69,83,80,64,36
1239,84,94,114,98,16
1240,72,22,1,2,56
1241,121,65,32,29,111
1242,87,9,108,112,54
1243,37,45,49,100,1
1244,109,17,76,88,21
1245,96,85,68,105,108
1246,62,42,11,41,123
1247,15,70,73,124,82
1248,13,4,91,50,93
1249,35,24,116,7,90
1250,97,106,57,119,92
1251,74,81,104,84,106
1252,34,58,33,53,63
1253,47,23,8,69,70
1254,10,60,117,120,27
1255,20,83,79,19,13
1256,44,57,62,74,24
1257,98,52,121,11,46
1258,76,10,64,81,40
1259,17,39,38,105,119
1260,42,68,113,122,20
1261,112,26,4,58,25
1262,109,35,72,55,71
1263,5,47,9,103,51
1264,73,36,95,29,18
1265,37,67,2,78,43
1266,99,56,118,124,114
1267,85,16,116,97,66
1268,125,110,88,32,104
1269,59,31,82,119,95
1270,96,75,80,41,57
1271,23,115,54,42,49
1272,15,94,107,110,43
1273,34,77,65,16,6
1274,28,86,48,77,76
1275,14,91,60,22,103
1276,61,102,30,87,38
1277,12,89,67,47,35
1278,3,123,5,24,58
1279,101,45,97,117,79
1280,48,26,60,50,73
1281,104,36,7,87,20
1282,98,44,106,89,90
1283,122,55,18,41,25
1284,61,125,52,71,22
1285,27,49,113,114,47
1286,10,37,54,111,70
1287,12,102,74,93,33
1288,72,29,120,100,9
1289,3,86,69,92,1
1290,62,2,15,45,46
1291,31,116,13,121,105
1292,28,11,14,75,81
1293,63,51,68,39,54
1294,82,21,94,23,30
1295,8,56,108,64,48
1296,65,96,99,91,53
1297,34,84,66,118,62
1298,83,124,32,6,18
1299,107,17,19,31,109
1300,115,112,78,70,114
1301,88,80,123,59,98
1302,101,85,20,23,48
1303,40,4,57,15,11
1304,110,79,60,21,70
1305,16,42,29,106,30
1306,22,67,119,34,101
1307,52,78,74,5,60
1308,123,85,2,9,50
1309,117,49,81,80,121
1310,109,27,77,96,112
1311,19,94,14,1,38
1312,46,17,111,36,55
1313,40,108,91,37,59
1314,92,90,102,69,61
1315,113,24,6,63,25
1316,8,13,65,87,12
1317,93,84,89,43,9
1318,56,76,71,73,104
1319,83,35,122,84,117
1320,99,100,95,116,118
1321,58,86,64,75,71
1322,7,124,68,107,119
1323,3,44,66,51,26
1324,33,10,125,29,39
1325,32,103,115,15,44
1326,53,4,88,77,81
1327,28,120,97,98,105
1328,82,45,114,11,3
1329,72,21,34,111,44
1330,41,112,91,68,67
1331,41,85,19,58,30
1332,42,45,93,55,113
1333,18,102,104,99,4
1334,116,23,87,2,69
1335,16,33,122,78,80
1336,43,53,125,75,54
1337,22,88,106,100,69
1338,25,46,74,32,108
1339,31,20,40,110,115
1340,120,65,63,17,101
1341,96,24,83,10,121
1342,86,50,103,124,72
1343,97,8,109,94,60
1344,90,39,123,12,82
1345,7,76,92,59,26
1346,66,35,61,79,27
1347,5,107,37,48,122
1348,14,57,100,27,89
1349,73,49,6,35,28
1350,13,51,56,52,75
1351,105,62,1,4,36
1352,118,81,78,21,107
1353,95,38,88,64,24
1354,47,83,109,123,71
1355,73,43,20,33,116
1356,8,15,96,111,119
1357,82,98,67,13,81
1358,14,54,7,105,55
1359,94,93,36,108,19
1360,113,62,117,53,14
1361,52,91,80,58,95
1362,86,104,114,30,101
1363,10,57,23,113,31
1364,28,56,50,41,84
1365,90,59,46,6,85
1366,18,38,12,69,5
1367,49,26,102,72,52
1368,1,76,112,74,124
1369,61,99,40,9,15
1370,34,45,103,39,27
1371,125,3,97,36,118
1372,70,92,2,65,35
1373,25,87,42,47,125
1374,51,22,77,66,17
1375,110,120,46,23,62
1376,89,32,79,2,86
1377,16,37,47,117,11
1378,106,121,93,53,118
1379,68,29,13,63,76
1380,64,115,6,111,79
1381,83,3,105,91,90
1382,75,101,39,32,26
1383,25,21,102,124,37
1384,64,57,34,85,28
1385,103,84,31,87,26
1386,19,120,33,67,45
1387,59,115,50,89,8
1388,17,99,20,44,1
1389,4,97,65,69,110
1390,10,95,77,123,72
1391,16,100,5,76,80
1392,114,43,42,6,9
1393,74,30,88,92,68
1394,48,40,66,83,54
1395,18,63,108,88,39
1396,106,96,82,78,59
1397,49,119,3,13,37
1398,104,51,94,116,26
1399,55,98,58,60,124
1400,22,109,32,85,5
1401,56,112,29,15,93
1402,11,61,21,84,7
1403,73,24,41,17,8
1404,38,122,63,123,28
1405,70,29,1,85,104
1406,107,121,108,47,62
1407,12,91,48,27,46
1408,71,92,66,80,24
1409,31,4,108,76,89
1410,45,74,107,115,52
1411,54,101,71,103,81
1412,60,68,75,12,50
1413,23,78,72,89,51
1414,38,117,65,93,61
1415,20,125,111,112,38
1416,105,43,109,79,102
1417,10,11,20,6,1
1418,30,22,99,82,42
1419,18,94,79,67,31
1420,19,77,118,41,60
1421,73,2,119,14,114
1422,44,100,91,113,123
1423,110,56,7,12,57
1424,98,33,40,49,32
1425,53,87,35,85,39
1426,70,122,64,116,98
1427,16,9,25,83,14
1428,106,36,15,5,41
1429,97,86,10,73,19
1430,120,95,96,45,61
1431,34,55,90,75,78
1432,58,113,9,22,21
1433,121,74,109,56,54
1434,13,99,34,69,101
1435,118,63,49,20,92
1436,103,122,105,61,118
1437,121,115,43,65,84
1438,11,72,13,33,47
1439,17,2,30,112,80
1440,104,59,25,53,28
1441,125,82,116,102,1
1442,90,81,114,50,33
1443,86,42,44,27,56
1444,18,119,91,107,70
1445,88,8,16,52,37
1446,77,120,68,79,24
1447,96,40,124,71,113
1448,58,117,48,67,17
1449,3,35,94,55,40
1450,110,106,28,112,46
1451,23,4,114,38,87
1452,51,7,70,81,97
1453,66,100,15,67,87
1454,62,64,78,3,68
1455,95,92,55,23,50
1456,57,36,25,111,117
1457,29,46,21,65,71
1458,119,69,72,60,112
1459,39,115,5,108,70
1460,116,93,49,30,111
1461,104,31,11,22,74
1462,8,34,32,124,54
1463,12,97,24,21,99
1464,26,63,96,77,62
1465,82,66,121,14,110
1466,105,80,9,107,101
1467,45,73,10,53,122
1468,41,29,22,94,44
1469,75,103,65,64,100
1470,37,83,106,19,95
1471,90,48,47,58,116
1472,52,2,77,125,9
1473,35,98,48,103,16
1474,18,59,27,43,116
1475,6,36,39,98,78
1476,7,102,123,60,62
1477,42,51,69,1,84
1478,57,120,43,93,125
1479,76,95,44,79,47
1480,89,88,40,119,34
1481,4,10,118,17,78
1482,109,59,45,14,66
1483,86,31,108,58,122
1484,36,61,13,109,53
1485,74,63,3,100,99
1486,64,67,23,52,42
1487,102,29,35,113,107
1488,33,76,106,66,50
1489,80,19,46,34,24
1490,2,7,34,100,54
1491,90,28,94,52,27
1492,72,91,79,30,6
1493,26,71,11,120,115
1494,51,117,12,15,20
1495,121,123,68,87,97
1496,25,89,104,96,73
1497,86,41,117,78,88
1498,81,110,85,92,31
1499,56,83,43,82,38
1500,57,5,49,84,75
1501,18,101,37,58,89
1502,105,46,20,3,42
1503,16,4,124,85,106
1504,8,45,101,90,111
1505,32,59,17,61,10
1506,55,15,69,114,28
1507,47,75,7,82,1
1508,96,87,70,6,32
1509,30,65,108,12,118
1510,50,107,120,37,104
1511,62,8,81,68,35
1512,4,24,54,26,9
1513,63,21,114,125,11
1514,95,94,49,113,85
1515,14,71,88,115,77
1516,41,33,53,119,97
1517,121,64,112,48,51
1518,74,98,91,83,27
1519,60,36,33,92,47
1520,99,111,73,5,55
1521,18,13,28,71,19
1522,40,72,84,25,44
1523,2,124,93,22,97
1524,67,105,72,24,39
1525,110,109,51,122,4
1526,103,57,52,114,29
1527,56,25,101,116,62
1528,80,38,35,1,15
1529,123,23,16,86,22
1530,102,9,95,32,36
1531,76,37,57,45,36
1532,23,66,18,30,45
1533,50,46,87,98,112
1534,106,17,125,122,14
1535,53,74,105,60,38
1536,20,29,6,107,96
1537,73,91,115,68,90
1538,108,110,7,86,113
1539,111,80,56,26,2
1540,58,81,11,111,76
1541,16,92,10,26,115
1542,49,21,2,61,41
1543,59,69,93,21,105
1544,121,75,79,42,118
1545,27,82,123,76,65
1546,31,39,100,124,44
1547,43,70,77,67,55
1548,89,99,64,84,120
1549,102,119,50,118,86
1550,63,109,40,12,43
1551,48,19,25,88,103
1552,13,6,104,23,108
1553,54,28,122,107,41
1554,3,8,5,34,31
1555,117,94,46,73,123
1556,83,112,23,99,35
1557,113,81,120,83,88
1558,58,56,96,3,33
1559,15,125,59,58,23
1560,110,30,52,44,13
1561,70,80,94,65,11
1562,116,77,60,57,22
1563,37,85,55,44,61
1564,14,68,40,38,104
1565,90,42,124,92,96
1566,4,8,98,95,121
1567,109,103,113,9,91
1568,16,1,61,68,97
1569,63,82,112,117,48
1570,66,89,114,7,10
1571,53,49,32,51,19
1572,101,106,24,43,29
1573,64,119,54,36,78
1574,27,87,62,69,95
1575,71,108,45,41,17
1576,84,20,72,37,17
1577,12,86,74,84,77
1578,5,59,101,40,100
1579,47,32,67,28,115
1580,39,79,99,51,93
1581,75,21,100,92,6
1582,18,120,9,82,53
1583,102,67,31,97,54
1584,50,11,27,3,116
1585,85,26,117,103,65
1586,119,5,125,76,62
1587,19,52,39,122,118
1588,57,13,106,25,123
1589,16,72,107,90,14
1590,56,55,66,91,71
1591,1,89,42,24,49
1592,33,105,70,22,7
1593,4,47,125,41,121
1594,12,122,81,6,48
1595,2,29,98,104,93
1596,35,124,59,64,33
1597,111,69,94,24,63
1598,80,104,60,46,71
1599,8,20,86,83,114
1600,10,79,74,9,28
1601,110,73,88,34,38
1602,30,105,78,109,14
1603,102,45,58,63,112
1604,18,75,87,48,94
1605,15,116,17,110,76
1606,91,97,7,111,39
1607,77,37,38,54,99
1608,40,90,103,119,30
1609,100,60,51,43,120
1610,69,25,22,61,80
1611,84,2,36,115,113
1612,55,52,27,107,82
1613,70,44,12,16,95
1614,8,53,26,47,50
1615,74,118,29,1,117
1616,21,68,34,106,82
1617,20,121,62,15,89
1618,79,124,54,88,17
1619,114,71,32,39,53
1620,56,31,64,109,73
1621,19,78,92,98,93
1622,49,44,65,46,10
1623,123,96,103,70,14
1624,75,72,31,120,4
1625,85,3,104,91,24
1626,57,81,50,34,38
1627,66,111,113,99,62
1628,87,86,17,115,55
1629,11,35,109,51,119
1630,67,80,118,76,73
1631,83,107,116,59,61
1632,42,101,13,98,108
1633,18,102,5,30,77
1634,101,52,10,5,50
1635,69,121,12,3,117
1636,42,19,125,26,33
1637,63,97,36,89,65
1638,83,11,95,43,48
1639,100,73,23,123,110
1640,57,21,16,32,71
1641,1,108,4,66,2
1642,22,96,46,95,7
1643,40,92,74,65,90
1644,28,125,84,54,62
1645,20,95,35,82,105
1646,41,39,69,11,89
1647,112,86,61,116,33
1648,106,58,27,38,32
1649,47,77,111,14,15
1650,64,60,68,122,71
1651,124,13,9,37,6
1652,45,70,36,88,31
1653,75,23,102,81,78
1654,29,67,79,27,25
1655,85,49,78,120,18
1656,8,107,94,6,56
1657,114,87,93,72,117
1658,64,81,51,125,67
1659,63,16,91,76,66
1660,8,113,19,38,17
1661,22,43,90,56,76
1662,122,89,42,103,99
1663,108,3,53,111,79
1664,105,26,40,24,32
1665,98,123,15,25,34
1666,44,112,60,28,21
1667,84,33,48,30,5
1668,106,59,41,101,104
1669,12,4,9,104,62
1670,102,88,116,68,87
1671,96,55,80,39,118
1672,115,100,124,47,18
1673,58,93,11,97,103
1674,46,77,35,52,94
1675,2,45,20,114,75
1676,7,28,37,1,92
1677,121,74,110,25,119
1678,29,109,13,57,82
1679,83,49,72,36,14
1680,10,85,61,62,124
1681,27,53,118,88,1
1682,64,15,26,31,74
1683,24,41,37,57,87
1684,54,47,70,83,2
1685,113,117,76,75,79
1686,92,58,46,44,18
1687,107,42,34,9,114
1688,67,80,22,30,94
1689,60,13,100,63,85
1690,49,84,106,110,6
1691,21,48,96,120,93
1692,12,29,35,16,102
1693,122,72,81,109,59
1694,65,33,91,51,4
1695,73,108,7,20,23
1696,105,68,66,90,19
1697,99,5,10,119,86
1698,43,50,69,40,115
1699,101,55,56,78,97
1700,45,8,98,3,106
1701,123,52,121,112,24
1702,115,38,66,25,97
1703,41,110,10,67,26
1704,112,55,85,105,74
1705,7,29,28,120,121
1706,59,108,34,77,48
1707,30,36,56,47,27
1708,45,15,124,65,21
1709,78,111,43,95,73
1710,93,32,3,50,119
1711,99,92,109,60,49
1712,116,72,35,37,113
1713,5,6,88,2,31
1714,125,68,89,61,8
1715,19,91,14,75,44
1716,53,122,84,87,22
1717,54,94,4,42,90
1718,81,16,104,69,39
1719,100,118,82,57,40
1720,23,79,1,70,9
1721,11,63,96,107,17
1722,46,83,101,117,86
1723,71,12,51,58,114
1724,52,20,102,103,80
1725,123,64,18,13,107
1726,98,28,96,117,125
1727,71,94,116,112,118
1728,100,41,81,53,91
1729,98,113,65,56,18
1730,75,68,52,83,110
1731,15,50,80,97,92
1732,93,101,122,62,23
1733,60,79,11,78,45
1734,115,16,111,48,72
1735,70,61,106,20,67
1736,123,17,27,42,74
1737,120,88,84,44,66
1738,19,43,10,1,104
1739,90,49,2,12,21
1740,82,24,25,108,114
1741,86,32,59,29,87
1742,6,85,54,77,51
1743,13,89,46,34,33
1744,36,40,8,9,39
1745,3,109,37,26,22
1746,124,63,35,30,4
1747,55,38,103,5,64
1748,102,105,76,31,99
1749,47,69,57,73,119
1750,121,58,14,122,40
1751,95,7,87,103,56
1752,99,38,51,48,70
1753,78,8,104,96,27
1754,120,83,6,58,98
1755,33,115,60,24,55
1756,66,85,118,23,125
1757,65,16,114,52,67
1758,86,1,31,93,41
1759,2,7,102,19,25
1760,72,18,79,63,69
1761,61,97,77,46,3
1762,35,17,5,32,36
1763,12,47,82,37,50
1764,9,15,29,75,95
1765,108,91,94,123,43
1766,107,117,76,106,10
1767,112,80,42,13,88
1768,59,44,54,121,45
1769,14,34,20,84,111
1770,110,89,105,30,81
1771,21,73,74,4,100
1772,101,53,90,28,26
1773,22,62,71,92,83
1774,109,113,64,11,39
1775,116,124,49,119,77
1776,57,68,30,43,7
1777,56,89,86,124,12
1778,97,103,49,35,45
1779,87,106,78,54,91
1780,9,82,11,121,105
1781,62,41,90,79,99
1782,61,27,13,28,51
1783,53,66,40,117,37
1784,109,48,50,68,21
1785,24,44,107,5,65
1786,88,94,60,14,3
1787,63,108,1,115,81
1788,2,42,36,119,67
1789,38,32,85,4,52
1790,22,74,96,57,19
1791,55,113,23,16,25
1792,111,26,100,122,102
1793,64,29,6,33,118
1794,20,8,112,92,76
1795,98,73,116,75,84
1796,114,59,39,123,47
1797,10,71,125,15,120
1798,101,110,69,17,95
1799,31,104,58,80,75
1800,70,72,46,102,121
1801,93,34,18,90,24
1802,5,56,115,20,58
1803,26,57,17,89,94
1804,96,85,37,79,29
1805,47,65,87,9,104
1806,55,116,46,53,67
1807,105,18,60,1,73
1808,106,111,33,52,66
1809,45,27,48,62,80
1810,118,69,42,76,86
1811,50,54,22,110,114
1812,16,41,40,123,3
1813,23,35,68,14,51
1814,98,101,11,30,31
1815,119,84,71,95,81
1816,25,70,93,8,64
1817,72,7,32,77,78
1818,36,100,34,61,117
1819,10,39,4,112,6
1820,109,19,63,97,120
1821,108,21,83,125,99
1822,28,91,2,124,82
1823,107,38,12,59,15
1824,122,88,92,43,98
1825,103,13,74,113,24
1826,49,44,26,118,20
1827,119,85,12,7,64
1828,44,42,70,11,10
1829,89,123,36,116,48
1830,46,9,57,78,99
1831,22,27,55,6,18
1832,82,117,62,17,115
1833,69,96,33,83,15
1834,81,29,113,4,68
1835,25,90,65,125,95
1836,51,16,88,73,8
1837,76,32,30,1,100
1838,39,13,56,38,31
1839,71,5,124,72,110
1840,109,121,91,84,104
1841,21,103,59,3,63
1842,43,2,86,35,106
1843,66,92,61,47,41
1844,93,94,45,74,102
1845,111,60,37,67,75
1846,80,28,14,87,108
1847,107,40,77,19,23
1848,101,54,52,120,79
1849,49,50,122,105,34
1850,53,97,114,112,29
1851,58,66,77,30,79
1852,57,122,4,20,97
1853,112,25,124,22,73
1854,41,55,109,83,80
1855,33,119,54,92,104
1856,84,63,45,61,118
1857,47,64,23,43,90
1858,81,18,42,106,15
1859,7,44,82,48,101
1860,107,75,50,1,103
1861,114,60,62,70,56
1862,13,93,121,71,35
1863,67,21,89,40,85
1864,27,31,24,9,111
1865,53,123,10,95,8
1866,72,58,65,94,100
1867,36,99,16,26,11
1868,120,12,46,68,108
1869,69,125,88,78,116
1870,14,59,98,52,76
1871,6,110,87,3,19
1872,96,91,105,115,116
1873,17,102,39,34,28
1874,74,38,37,86,30
1875,2,32,117,51,84
1876,49,5,80,63,74
1877,113,7,21,122,94
1878,22,42,43,31,28
1879,93,12,54,73,53
1880,111,120,40,70,4
1881,79,19,16,82,15
1882,62,11,88,91,52
1883,107,67,48,32,57
1884,27,49,41,102,38
1885,85,44,86,68,103
1886,59,35,75,89,66
1887,77,76,39,65,115
1888,96,5,123,81,9
1889,100,83,114,90,78
1890,34,51,92,110,125
1891,104,72,60,23,97
1892,29,18,101,20,36
1893,113,124,50,87,58
1894,98,119,55,37,63
1895,112,33,17,14,43
1896,121,69,6,26,30
1897,56,108,105,106,118
1898,95,46,109,2,107
1899,64,61,1,24,16
1900,45,13,47,99,117
1901,3,10,25,51,18
1902,71,8,97,91,42
1903,101,80,47,3,81
1904,102,4,11,53,48
1905,62,49,39,24,58
1906,13,87,96,40,1
1907,59,124,55,70,69
1908,41,60,52,64,116
1909,79,7,5,83,118
1910,8,14,86,57,21
1911,29,90,77,110,98
1912,73,113,32,45,82
1913,89,6,50,74,28
1914,125,46,56,93,75
1915,67,117,122,33,78
1916,35,123,61,31,19
1917,103,111,12,92,23
1918,88,95,121,115,106
1919,85,109,20,27,110
1920,15,108,84,54,100
1921,65,119,120,112,38
1922,71,9,76,25,37
1923,10,114,68,36,94
1924,2,34,72,99,64
1925,66,104,26,46,113
1926,44,105,17,12,25
1927,22,108,78,29,89
1928,13,84,11,8,90
1929,106,17,22,93,9
1930,95,117,91,20,31
1931,83,10,63,50,77
1932,32,104,103,34,79
1933,6,60,40,38,76
1934,71,7,26,14,65
1935,49,15,43,121,61
1936,92,59,16,27,2
1937,100,51,69,45,107
1938,37,81,118,114,120
1939,80,122,35,125,44
1940,56,41,88,111,85
1941,3,62,74,67,72
1942,99,87,4,98,82
1943,24,73,66,101,102
1944,54,68,58,96,41
1945,109,124,94,1,101
1946,48,47,55,42,19
1947,52,28,86,105,70
1948,5,116,21,97,39
1949,115,53,30,75,49
1950,23,18,33,57,88
1951,119,123,1,111,83
1952,36,112,108,19,70
1953,58,55,117,110,8
1954,72,119,75,105,27
1955,34,66,109,116,65
1956,86,64,45,40,22
1957,99,68,95,6,80
1958,59,120,51,57,42
1959,98,81,103,10,33
1960,112,5,82,89,122
1961,104,118,21,62,38
1962,123,2,125,60,29
1963,73,87,26,35,85
1964,114,15,113,115,102
1965,124,20,74,107,90
1966,56,16,4,28,77
1967,9,18,7,84,52
1968,50,94,39,61,25
1969,46,23,63,106,36
1970,31,78,92,17,3
1971,76,24,97,43,12
1972,79,13,14,48,10
1973,53,69,44,34,62
1974,96,121,67,92,38
1975,54,71,30,20,19
1976,93,100,11,6,66
1977,47,32,91,122,120
1978,37,101,2,115,103
1979,51,86,104,111,90
1980,7,76,89,3,55
1981,28,110,48,25,35
1982,4,93,47,107,84
1983,116,114,14,85,101
1984,118,31,16,119,46
1985,8,99,65,1,22
1986,9,117,30,97,64
1987,72,96,108,26,45
1988,23,80,82,54,8
1989,37,70,78,21,123
1990,125,100,49,112,79
1991,81,57,58,61,60
1992,27,124,11,68,117
1993,71,36,69,98,74
1994,33,95,102,59,1
1995,53,42,83,56,25
1996,73,67,63,15,44
1997,91,24,50,17,67
1998,109,106,77,75,74
1999,52,12,87,39,100
2000,41,105,43,13,5
2001,29,88,40,54,10
2002,32,121,18,66,31
2003,94,20,121,78,16
2004,113,28,63,95,93
2005,27,89,114,23,44
2006,4,123,76,88,49
2007,42,39,37,46,14
2008,15,104,53,99,52
2009,41,73,29,115,46
2010,19,72,56,11,50
2011,18,110,45,70,43
2012,87,5,61,90,75
2013,62,94,32,64,98
2014,105,58,2,78,15
2015,92,107,108,116,81
2016,6,86,48,113,97
2017,119,79,80,106,39
2018,40,55,125,102,84
2019,21,35,47,24,88
2020,7,91,69,13,49
2021,82,36,118,103,77
2022,60,124,17,83,66
2023,3,96,65,30,122
2024,34,71,85,11,106
2025,59,22,68,111,13
2026,51,9,53,80,98
2027,26,38,33,63,2
2028,57,12,112,1,113
2029,109,103,114,96,76
2030,120,16,74,87,34
2031,3,75,112,86,54
2032,47,26,58,29,116
2033,43,37,44,4,8
2034,36,50,38,79,44
2035,91,118,70,89,58
2036,117,57,102,85,108
2037,62,55,28,65,81
2038,6,23,109,67,123
2039,77,95,122,104,114
2040,35,69,27,60,10
2041,92,24,84,94,79
2042,71,48,31,90,100
2043,99,32,56,14,110
2044,40,33,72,101,68
2045,83,18,97,26,82
2046,17,52,61,119,113
2047,121,19,5,73,37
2048,124,51,7,93,36
2049,9,125,45,115,109
2050,20,59,25,46,43
2051,22,107,120,41,33
2052,111,42,64,105,21
2053,30,12,106,83,28
2054,90,32,69,123,102
2055,34,30,95,45,55
2056,12,99,67,88,71
2057,125,57,105,124,16
2058,122,74,8,2,18
2059,3,38,117,35,42
2060,4,60,15,103,22
2061,94,59,5,85,97
2062,62,100,29,50,14
2063,64,10,80,91,37
2064,101,65,111,19,53
2065,52,89,25,31,87
2066,77,93,81,112,27
2067,115,119,6,94,13
2068,39,54,72,1,98
2069,48,73,61,40,91
2070,121,23,76,41,34
2071,75,24,120,11,23
2072,104,110,82,63,42
2073,92,9,68,56,100
2074,7,107,125,53,31
2075,108,47,51,52,44
2076,96,84,46,64,82
2077,116,17,40,18,80
2078,20,21,66,13,72
2079,86,49,66,107,98
2080,118,11,14,54,123
2081,70,26,5,27,113
2082,78,71,47,28,49
2083,50,65,41,78,35
2084,122,19,29,69,106
2085,63,22,32,20,88
2086,70,85,30,15,39
2087,74,97,99,43,58
2088,103,119,108,90,67
2089,57,2,55,121,10
2090,89,117,111,77,80
2091,1,36,120,110,62
2092,8,33,87,105,79
2093,124,102,3,104,44
2094,83,76,93,85,84
2095,60,25,86,91,36
2096,12,109,32,10,118
2097,101,16,38,75,71
2098,96,112,59,110,24
2099,68,17,73,65,2
2100,81,56,45,52,6
2101,115,51,21,95,118
2102,92,114,48,106,4
2103,7,116,24,117,4
2104,61,23,112,115,98
2105,9,35,108,58,67
2106,123,97,28,75,33
2107,50,20,9,55,99
2108,107,54,21,25,26
2109,114,31,40,49,81
2110,53,72,76,61,95
2111,83,122,16,13,86
2112,46,79,124,81,111
2113,103,120,27,73,39
2114,11,5,104,57,92
2115,17,100,70,97,84
2116,7,63,47,6,16
2117,96,43,89,60,102
2118,69,37,68,93,77
2119,48,78,66,74,56
2120,29,30,51,72,17
2121,101,88,119,96,100
2122,45,1,14,67,5
2123,82,38,116,111,10
2124,22,34,12,91,26
2125,19,62,18,59,4
2126,87,109,42,62,40
2127,90,15,109,88,7
2128,125,3,113,20,120
2129,64,121,27,101,87
2130,8,41,15,118,48
2131,94,105,83,37,23
2132,1,3,52,34,58
2133,9,60,59,119,117
2134,86,123,65,110,11
2135,94,47,106,31,103
2136,32,108,55,75,41
2137,57,39,90,44,22
2138,21,79,98,114,102
2139,53,113,43,77,92
2140,125,50,30,13,73
2141,38,84,124,80,29
2142,61,14,6,104,18
2143,71,33,70,82,74
2144,105,107,71,63,123
2145,85,25,99,33,45
2146,42,116,12,95,66
2147,36,24,54,122,76
2148,19,46,21,27,76
2149,28,68,115,8,107
2150,112,78,109,111,18
2151,51,89,83,103,121
2152,69,64,20,65,79
2153,2,40,52,97,95
2154,49,93,82,67,68
2155,56,35,1,90,120
2156,89,32,19,95,92
2157,100,105,77,42,45
2158,46,69,8,5,54
2159,58,16,53,17,85
2160,99,73,106,96,124
2161,50,98,7,104,35
2162,43,36,3,66,87
2163,34,112,9,83,102
2164,60,48,30,87,2
2165,23,10,31,84,58
2166,108,62,37,33,110
2167,75,39,121,99,63
2168,72,12,41,125,6
2169,56,59,26,79,61
2170,70,49,29,3,57
2171,55,15,13,51,116
2172,38,122,11,46,15
2173,113,44,78,80,59
2174,64,114,88,74,61
2175,25,81,13,32,70
2176,94,117,49,104,22
2177,14,24,119,22,102
2178,28,118,18,76,11
2179,115,93,52,57,80
2180,91,101,112,107,15
2181,86,4,34,67,96
2182,47,17,75,85,98
2183,73,14,9,63,86
2184,105,51,62,97,31
2185,28,5,40,66,93
2186,81,26,43,119,19
2187,120,25,69,92,30
2188,2,53,23,89,71
2189,111,125,74,32,44
2190,29,45,91,92,119
2191,54,109,117,16,18
2192,7,123,115,99,27
2193,118,47,110,102,107
2194,64,77,44,106,1
2195,108,60,8,101,12
2196,84,37,112,90,16
2197,10,56,24,20,100
2198,72,82,88,55,52
2199,4,50,46,45,71
2200,42,68,78,5,25
2201,6,103,116,122,124
2202,121,21,36,80,1
2203,48,39,29,23,3
2204,113,38,89,54,47
2205,65,42,75,96,94
2206,114,41,7,74,35
2207,56,123,122,85,12
2208,41,97,98,20,22
2209,21,87,17,77,120
2210,4,101,61,125,118
2211,65,43,6,57,62
2212,30,114,111,121,17
2213,60,82,90,113,31
2214,70,76,68,53,74
2215,55,14,93,92,123
2216,33,49,9,16,94
2217,64,63,57,53,110
2218,91,35,79,57,40
2219,95,67,13,26,77
2220,51,50,106,102,37
2221,27,100,3,83,107
2222,72,28,85,36,15
2223,66,8,81,103,69
2224,34,10,115,78,19
